"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Kalispell, MT","28060",2024,152,128,24,0,0,0,0,77,53,40,0,0,99,42,11
"Kansas City, MO-KS","28140",2024,91,27,61,3,0,0,0,110,76,57,0,3,7,64,17
"Keene, NH","28300",2024,91,72,19,0,0,0,0,63,55,37,0,0,52,39,0
"Kennewick-Richland, WA","28420",2024,121,105,16,0,0,0,0,70,52,21,0,0,0,96,25
"Killeen-Temple, TX","28660",2024,121,84,37,0,0,0,0,84,62,42,0,0,69,52,0
"Kingsport-Bristol-Bristol, TN-VA","28700",2024,116,92,24,0,0,0,0,64,54,34,0,0,28,88,0
"Kingsville, TX","28780",2024,79,57,22,0,0,0,0,72,57,34,0,0,0,79,0
"Kinston, NC","28820",2024,121,115,6,0,0,0,0,74,48,19,0,0,61,0,60
"Klamath Falls, OR","28900",2024,91,75,16,0,0,0,0,63,53,32,0,0,0,91,0
"Knoxville, TN","28940",2024,213,106,107,0,0,0,0,88,66,51,0,0,81,132,0
"Kokomo, IN","29020",2024,182,110,72,0,0,0,0,93,63,46,0,0,108,74,0
"La Crosse-Onalaska, WI-MN","29100",2024,7,7,0,0,0,0,0,43,43,37,0,0,7,0,0
"La Grande, OR","29260",2024,91,88,3,0,0,0,0,63,41,23,0,0,0,91,0
"Laconia, NH","29060",2024,91,89,2,0,0,0,0,52,43,28,0,0,31,60,0
"Lafayette, LA","29180",2024,182,100,80,2,0,0,0,108,61,48,0,0,67,115,0
"Lafayette-West Lafayette, IN","29200",2024,182,115,67,0,0,0,0,90,61,46,0,0,109,73,0
"Lake Charles, LA","29340",2024,182,93,87,2,0,0,0,143,64,50,0,0,66,116,0
"Lake City, FL","29380",2024,91,55,36,0,0,0,0,80,59,44,0,0,21,70,0
"Lake Havasu City-Kingman, AZ","29420",2024,176,175,1,0,0,0,0,69,28,17,0,0,0,0,176
"Lakeland-Winter Haven, FL","29460",2024,91,68,22,1,0,0,0,105,54,43,0,0,50,41,0
"Lancaster, PA","29540",2024,152,87,63,2,0,0,0,125,67,47,0,0,0,152,0
"Lansing-East Lansing, MI","29620",2024,91,70,21,0,0,0,0,85,57,36,0,1,42,48,0
"Laramie, WY","29660",2024,182,126,54,2,0,0,0,115,67,47,0,0,135,32,15
"Laredo, TX","29700",2024,122,62,59,1,0,0,0,106,80,50,1,0,55,66,0
"Las Cruces, NM","29740",2024,91,51,32,3,1,1,3,692,88,46,0,2,38,33,18
"Las Vegas-Henderson-Paradise, NV","29820",2024,122,59,58,5,0,0,0,140,83,51,1,0,79,37,5
"Lawrenceburg, TN","29980",2024,90,71,19,0,0,0,0,80,57,33,0,0,0,90,0
"Lawton, OK","30020",2024,148,115,33,0,0,0,0,77,56,39,0,0,52,96,0
"Lebanon, PA","30140",2024,150,105,45,0,0,0,0,94,60,38,0,0,0,150,0
"Lewiston, ID-WA","30300",2024,120,81,39,0,0,0,0,92,66,37,0,0,0,120,0
"Lewiston-Auburn, ME","30340",2024,213,198,15,0,0,0,0,77,47,34,0,0,128,83,2
"Lexington-Fayette, KY","30460",2024,96,80,16,0,0,0,0,65,53,34,0,3,23,65,5
"Lima, OH","30620",2024,182,129,53,0,0,0,0,97,61,44,0,0,91,91,0
"Lincoln, NE","30700",2024,41,31,10,0,0,0,0,64,58,35,0,0,0,41,0
"Little Rock-North Little Rock-Conway, AR","30780",2024,183,88,93,1,0,1,0,205,65,51,1,0,49,133,0
"Logan, UT-ID","30860",2024,182,142,38,1,1,0,0,161,63,42,0,0,136,46,0
"Longview, TX","30980",2024,117,110,7,0,0,0,0,77,49,37,0,4,113,0,0
"Longview, WA","31020",2024,121,116,5,0,0,0,0,61,35,21,0,0,0,121,0
"Los Angeles-Long Beach-Anaheim, CA","31080",2024,153,36,110,7,0,0,0,140,87,59,1,1,55,93,3
"Louisville/Jefferson County, KY-IN","31140",2024,211,130,79,1,1,0,0,154,61,47,0,3,118,90,0
"Lubbock, TX","31180",2024,121,117,4,0,0,0,0,91,33,14,0,0,0,121,0
"Ludington, MI","31220",2024,31,31,0,0,0,0,0,44,42,37,0,0,31,0,0
"Lynchburg, VA","31340",2024,59,51,8,0,0,0,0,61,52,27,0,0,0,59,0
"Macon, GA","31420",2024,182,92,88,2,0,0,0,123,66,50,0,0,25,157,0
"Madison, WI","31540",2024,91,67,24,0,0,0,0,74,57,38,0,0,2,86,3
"Manchester-Nashua, NH","31700",2024,92,92,0,0,0,0,0,47,42,36,1,0,89,2,0
"Manitowoc, WI","31820",2024,7,7,0,0,0,0,0,44,44,42,0,0,7,0,0
"Marietta, OH","31930",2024,122,109,13,0,0,0,0,90,51,40,0,0,122,0,0
"Marshall, MN","32140",2024,90,76,14,0,0,0,0,67,54,34,0,0,21,65,4
"Marshall, TX","32220",2024,121,81,37,0,1,2,0,263,56,43,0,1,51,69,0
"Mayaguez, PR","32420",2024,176,176,0,0,0,0,0,38,29,15,0,0,108,68,0
"McAlester, OK","32540",2024,150,101,49,0,0,0,0,77,64,44,0,0,51,99,0
"McAllen-Edinburg-Mission, TX","32580",2024,121,42,77,2,0,0,0,105,87,56,0,0,16,100,5
"Medford, OR","32780",2024,91,72,19,0,0,0,0,75,54,37,0,0,0,91,0
"Memphis, TN-MS-AR","32820",2024,182,110,67,5,0,0,0,133,63,48,0,1,96,85,0
"Meridian, MS","32940",2024,31,31,0,0,0,0,0,47,45,39,0,0,31,0,0
"Miami, OK","33060",2024,91,55,36,0,0,0,0,100,69,42,0,0,4,83,4
"Miami-Fort Lauderdale-West Palm Beach, FL","33100",2024,182,66,114,1,1,0,0,197,64,52,0,5,46,130,1
"Michigan City-La Porte, IN","33140",2024,182,150,31,1,0,0,0,105,60,40,0,0,161,21,0
"Middlesborough, KY","33180",2024,91,52,39,0,0,0,0,88,66,44,0,0,19,72,0
"Milwaukee-Waukesha-West Allis, WI","33340",2024,92,66,26,0,0,0,0,79,66,43,1,8,5,74,4
"Minneapolis-St. Paul-Bloomington, MN-WI","33460",2024,91,54,36,1,0,0,0,113,70,44,0,1,39,51,0
"Minot, ND","33500",2024,182,173,8,1,0,0,0,101,47,37,0,0,135,47,0
"Missoula, MT","33540",2024,91,40,51,0,0,0,0,92,70,52,0,0,12,79,0
"Mobile, AL","33660",2024,120,78,42,0,0,0,0,77,57,44,0,0,18,101,1
"Modesto, CA","33700",2024,55,33,22,0,0,0,0,81,68,40,1,0,4,50,0
"Monroe, LA","33740",2024,182,169,13,0,0,0,0,80,48,39,0,0,168,14,0
"Montgomery, AL","33860",2024,113,70,43,0,0,0,0,75,58,41,0,0,16,96,1
"Morehead City, NC","33980",2024,151,147,4,0,0,0,0,71,47,38,0,0,151,0,0
"Morgantown, WV","34060",2024,48,43,5,0,0,0,0,57,51,39,0,0,30,18,0
"Morristown, TN","34100",2024,31,29,2,0,0,0,0,58,46,39,0,0,31,0,0
"Moscow, ID","34140",2024,91,88,3,0,0,0,0,59,32,12,0,0,0,91,0
"Moses Lake, WA","34180",2024,121,115,6,0,0,0,0,54,40,22,0,0,0,121,0
"Mount Vernon, IL","34500",2024,182,127,54,1,0,0,0,112,58,44,0,0,77,105,0
"Mount Vernon, OH","34540",2024,122,101,20,1,0,0,0,101,61,42,0,0,122,0,0
"Mount Vernon-Anacortes, WA","34580",2024,121,121,0,0,0,0,0,42,36,21,0,0,0,121,0
"Muncie, IN","34620",2024,181,126,55,0,0,0,0,97,61,44,0,0,111,70,0
"Muscatine, IA","34700",2024,213,163,50,0,0,0,0,78,55,37,0,0,0,213,0
"Muskegon, MI","34740",2024,31,31,0,0,0,0,0,44,41,36,0,0,31,0,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2024,182,135,47,0,0,0,0,87,57,43,0,0,102,80,0
"Naples-Immokalee-Marco Island, FL","34940",2024,182,125,57,0,0,0,0,87,58,45,0,0,70,112,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2024,92,49,43,0,0,0,0,70,60,48,1,3,9,79,0
"New Castle, IN","35220",2024,152,115,37,0,0,0,0,75,55,36,0,0,0,152,0
"New Haven-Milford, CT","35300",2024,92,70,22,0,0,0,0,64,56,41,1,5,40,46,0
"New Orleans-Metairie, LA","35380",2024,183,106,73,3,1,0,0,188,67,48,1,3,88,91,0
"New York-Newark-Jersey City, NY-NJ-PA","35620",2024,183,90,84,8,1,0,0,151,87,51,1,11,83,88,0
"Niles-Benton Harbor, MI","35660",2024,31,31,0,0,0,0,0,48,44,36,0,0,31,0,0
"Nogales, AZ","35700",2024,178,129,47,1,0,1,0,205,65,38,0,0,0,134,44
"North Port-Sarasota-Bradenton, FL","35840",2024,91,61,29,0,1,0,0,169,60,47,0,0,40,51,0
